Id,mean_exam_points
10000,53.86666666666667
10001,61.25
10002,56.333333333333336
10003,90.66666666666667
10004,87.25757575757575
10005,54.24817518248175
10006,54.951219512195124
10007,54.24817518248175
10008,60.36842105263158
10009,78.04395604395604
10010,54.24817518248175
10011,58.64646464646464
10012,51.97872340425532
10013,84.8
10014,58.06837606837607
10015,60.77777777777778
10016,86.22222222222223
10017,53.839080459770116
10018,52.94915254237288
10019,52.752631578947366
10020,77.5
10021,62.04
10022,69.71428571428571
10023,52.609756097560975
10024,52.94915254237288
10025,86.77777777777777
10026,61.375
10027,50.18181818181818
10028,61.095238095238095
10029,52.37777777777778
10030,66.0
10031,54.76923076923077
10032,61.375
10033,54.951219512195124
10034,58.64646464646464
10035,71.32075471698113
10036,52.404761904761905
10037,73.0
10038,63.5
10039,89.825
10040,88.0
10041,66.41666666666667
10042,61.25
10043,57.554794520547944
10044,61.666666666666664
10045,49.75
10046,58.64646464646464
10047,57.554794520547944
10048,64.0
10049,84.8
10050,57.554794520547944
10051,85.54545454545455
10052,55.285714285714285
10053,58.06837606837607
10054,51.97872340425532
10055,56.94736842105263
10056,76.125
10057,53.839080459770116
10058,66.75
10059,70.3
10060,60.266666666666666
10061,52.609756097560975
10062,52.609756097560975
10063,52.404761904761905
10064,59.258823529411764
10065,52.609756097560975
10066,52.274193548387096
10067,84.52459016393442
10068,58.64646464646464
10069,56.2
10070,66.75
10071,56.333333333333336
10072,52.94915254237288
10073,62.833333333333336
10074,71.5
10075,58.3
10076,71.32075471698113
10077,57.714285714285715
10078,65.41379310344827
10079,72.9090909090909
10080,60.333333333333336
10081,59.857142857142854
10082,83.31858407079646
10083,67.0
10084,60.58139534883721
10085,57.55555555555556
10086,81.65217391304348
10087,85.0
10088,53.839080459770116
10089,87.92307692307692
10090,53.51851851851852
10091,52.274193548387096
10092,54.24817518248175
10093,62.71830985915493
10094,66.63636363636364
10095,59.0
10096,87.0
10097,62.0
10098,78.875
10099,52.752631578947366
10100,81.73333333333333
10101,52.37777777777778
10102,61.375
10103,67.23684210526316
10104,60.58139534883721
10105,52.37777777777778
10106,51.27272727272727
10107,52.46666666666667
10108,61.022222222222226
10109,52.94915254237288
10110,52.752631578947366
10111,54.3
10112,62.71830985915493
10113,58.714285714285715
10114,53.9
10115,77.36363636363636
10116,52.37777777777778
10117,83.31858407079646
10118,56.333333333333336
10119,57.55555555555556
10120,60.266666666666666
10121,52.11538461538461
10122,83.31858407079646
10123,52.752631578947366
10124,58.042857142857144
10125,73.02325581395348
10126,54.35294117647059
10127,58.64646464646464
10128,54.92857142857143
10129,52.404761904761905
10130,70.144578313253
10131,57.30107526881721
10132,57.30107526881721
10133,74.41379310344827
10134,82.2
10135,81.72222222222223
10136,66.28571428571429
10137,54.951219512195124
10138,84.52459016393442
10139,58.06837606837607
10140,54.3
10141,59.0
10142,73.6
10143,57.5
10144,52.752631578947366
10145,54.24817518248175
10146,63.03921568627451
10147,52.37777777777778
10148,57.6
10149,56.333333333333336
10150,89.825
10151,62.71830985915493
10152,83.82758620689656
10153,61.25
10154,61.022222222222226
10155,64.0
10156,52.752631578947366
10157,57.32203389830509
10158,59.148148148148145
10159,61.095238095238095
10160,51.27272727272727
10161,71.32075471698113
10162,52.274193548387096
10163,54.24817518248175
10164,59.258823529411764
10165,85.0
10166,78.04395604395604
10167,67.57142857142857
10168,86.77777777777777
10169,53.790055248618785
10170,52.609756097560975
10171,52.609756097560975
10172,59.42857142857143
10173,58.042857142857144
10174,58.64646464646464
10175,52.609756097560975
10176,61.022222222222226
10177,81.75
10178,57.554794520547944
10179,56.80952380952381
10180,74.41379310344827
10181,52.609756097560975
10182,69.71428571428571
10183,61.022222222222226
10184,86.77777777777777
10185,58.625
10186,56.2
10187,85.54545454545455
10188,53.839080459770116
10189,64.86046511627907
10190,81.65217391304348
10191,59.57142857142857
10192,73.0
10193,88.57142857142857
10194,78.04395604395604
10195,82.3
10196,53.790055248618785
10197,52.274193548387096
10198,54.24817518248175
10199,58.06837606837607
10200,52.609756097560975
10201,52.609756097560975
10202,56.80952380952381
10203,71.32075471698113
10204,64.28571428571429
10205,55.81818181818182
10206,54.333333333333336
10207,64.86046511627907
10208,72.9090909090909
10209,52.94915254237288
10210,89.45
10211,76.33333333333333
10212,61.022222222222226
10213,80.65957446808511
10214,57.554794520547944
10215,56.333333333333336
10216,60.58139534883721
10217,59.43181818181818
10218,60.58139534883721
10219,57.25
10220,52.752631578947366
10221,54.24817518248175
10222,61.25
10223,57.23529411764706
10224,87.25757575757575
10225,66.75
10226,52.46666666666667
10227,51.75
10228,54.76923076923077
10229,52.609756097560975
10230,70.77777777777777
10231,76.36842105263158
10232,57.30107526881721
10233,60.266666666666666
10234,83.31858407079646
10235,59.148148148148145
10236,53.790055248618785
10237,57.554794520547944
10238,47.5
10239,83.31858407079646
10240,62.71830985915493
10241,86.77777777777777
10242,52.752631578947366
10243,52.752631578947366
10244,63.5
10245,70.144578313253
10246,62.6
10247,89.2
10248,57.32203389830509
10249,73.02325581395348
10250,76.33333333333333
10251,52.609756097560975
10252,60.58139534883721
10253,80.3
10254,52.404761904761905
10255,54.76923076923077
10256,62.6
10257,64.0
10258,52.274193548387096
10259,61.25
10260,58.64646464646464
10261,83.0
10262,53.839080459770116
10263,71.75
10264,56.333333333333336
10265,53.839080459770116
10266,52.274193548387096
10267,76.5
10268,84.8
10269,78.04395604395604
10270,81.65217391304348
10271,58.625
10272,51.97872340425532
10273,71.54838709677419
10274,52.274193548387096
10275,58.64646464646464
10276,54.24817518248175
10277,73.77777777777777
10278,64.0
10279,60.3421052631579
10280,58.625
10281,84.625
10282,52.752631578947366
10283,83.31858407079646
10284,62.6
10285,52.752631578947366
10286,59.0
10287,56.333333333333336
10288,57.554794520547944
10289,64.72222222222223
10290,83.31858407079646
10291,53.839080459770116
10292,52.37777777777778
10293,54.76190476190476
10294,84.52459016393442
10295,54.76190476190476
10296,51.97872340425532
10297,64.0
10298,60.58139534883721
10299,58.06837606837607
10300,51.75
